23.154.64.229  93.57ms
23.154.64.203  102.08ms
23.154.64.87  106.00ms
23.154.64.23  106.00ms
23.154.64.154  106.08ms
23.154.64.176  106.97ms
23.154.64.245  107.06ms
23.154.64.169  107.08ms
23.154.64.247  108.57ms
23.154.64.60  109.06ms
23.154.64.43  110.07ms
23.154.64.191  110.50ms
23.154.64.1  110.51ms
23.154.64.220  110.56ms
23.154.64.77  111.06ms
23.154.64.153  111.06ms
23.154.64.173  111.06ms
23.154.64.253  111.07ms
23.154.64.76  112.44ms
23.154.64.121  112.50ms
23.154.64.216  112.57ms
23.154.64.25  114.63ms
23.154.64.21  114.80ms
23.154.64.82  115.06ms
23.154.64.37  115.07ms
23.154.64.5  115.30ms
23.154.64.141  116.30ms
23.154.64.221  117.07ms
23.154.64.36  117.30ms
23.154.64.54  118.58ms
23.154.64.140  119.30ms
23.154.64.238  120.81ms
23.154.64.254  121.08ms
23.154.64.102  121.75ms
23.154.64.68  121.80ms
23.154.64.93  121.84ms
23.154.64.250  122.07ms
23.154.64.162  122.34ms
23.154.64.215  123.30ms
23.154.64.144  123.35ms
23.154.64.34  124.06ms
23.154.64.244  124.14ms
23.154.64.62  125.30ms
23.154.64.185  126.81ms
23.154.64.175  127.22ms
23.154.64.188  128.30ms
23.154.64.164  129.56ms
23.154.64.198  130.06ms
23.154.64.85  134.06ms
23.154.64.192  134.30ms
23.154.64.15  134.80ms
23.154.64.248  136.80ms
23.154.64.79  137.28ms
23.154.64.230  138.26ms
23.154.64.22  139.28ms
23.154.64.45  141.26ms
23.154.64.112  145.09ms
23.154.64.103  145.30ms
23.154.64.163  145.30ms
23.154.64.78  147.24ms
23.154.64.202  147.75ms
23.154.64.69  148.13ms
23.154.64.232  153.59ms
23.154.64.59  159.25ms
23.154.64.35  163.37ms
23.154.64.207  164.87ms
23.154.64.241  165.37ms
23.154.64.246  166.37ms
23.154.64.223  166.37ms
23.154.64.227  166.61ms
23.154.64.71  167.11ms
23.154.64.161  167.87ms
23.154.64.177  168.10ms
23.154.64.51  169.37ms
23.185.0.195  115.48ms
23.185.0.76  118.00ms
23.185.0.173  119.00ms
23.185.0.37  125.87ms
23.185.0.15  130.87ms
23.185.0.79  133.86ms
23.185.0.69  138.50ms
23.185.0.139  140.50ms
23.185.0.146  143.00ms
23.185.0.245  144.50ms
23.185.0.214  146.50ms
23.185.0.73  148.00ms
23.185.0.18  148.50ms
23.235.37.145  94.53ms
23.235.37.144  97.10ms
23.235.33.27  97.51ms
23.235.32.65  98.27ms
23.235.32.222  98.52ms
23.235.33.3  99.24ms
23.235.37.63  99.26ms
23.235.37.179  99.48ms
23.235.32.144  99.90ms
23.235.32.177  100.42ms
23.235.32.56  100.77ms
23.235.36.196  101.45ms
23.235.36.121  101.47ms
23.235.32.93  101.52ms
23.235.36.151  102.25ms
23.235.32.101  102.81ms
23.235.37.199  103.00ms
23.235.37.211  103.11ms
23.235.37.238  103.52ms
23.235.36.234  104.06ms
23.235.33.34  104.13ms
23.235.37.234  104.64ms
23.235.33.232  104.74ms
23.235.37.72  104.99ms
23.235.32.70  105.21ms
23.235.33.61  105.94ms
23.235.37.217  106.00ms
23.235.33.116  106.45ms
23.235.36.88  106.48ms
23.235.37.54  106.48ms
23.235.33.202  107.11ms
23.235.36.134  107.39ms
23.235.32.26  107.43ms
23.235.37.183  107.98ms
23.235.32.166  108.27ms
23.235.37.249  108.47ms
23.235.32.3  108.49ms
23.235.33.115  108.50ms
23.235.32.95  108.52ms
23.235.32.133  108.67ms
23.235.32.7  108.91ms
