104.23.111.232  136.61ms
104.23.115.54  144.61ms
104.23.134.15  193.87ms
104.23.106.11  131.10ms
104.23.116.146  139.41ms
104.23.129.20  195.24ms
104.23.120.176  140.45ms
104.23.99.40  182.64ms
104.23.129.121  174.53ms
104.23.139.178  192.31ms
104.23.102.252  182.81ms
104.23.110.157  175.31ms
104.23.143.101  187.31ms
104.23.126.100  148.40ms
104.23.124.128  177.38ms
104.23.105.32  166.37ms
104.23.97.68  173.49ms
104.23.136.27  173.45ms
104.23.134.4  176.33ms
104.23.142.137  191.33ms
104.23.110.173  147.14ms
104.23.105.70  176.14ms
104.23.107.153  132.92ms
104.23.108.238  175.88ms
104.23.126.178  141.42ms
104.23.129.51  178.76ms
104.23.121.216  137.45ms
104.23.100.215  163.42ms
104.23.136.64  197.38ms
104.23.115.253  134.12ms
104.23.140.102  180.94ms
104.23.114.161  180.94ms
104.23.123.192  133.33ms
104.23.124.124  132.94ms
104.23.111.92  95.52ms
104.23.110.161  134.39ms
104.23.110.241  136.22ms
104.23.120.163  127.22ms
104.23.135.176  192.85ms
104.23.114.3  169.31ms
104.23.125.177  187.16ms
104.23.108.180  137.34ms
104.23.136.110  201.94ms
104.23.109.100  143.78ms
104.23.127.5  141.59ms
104.23.99.158  134.56ms
104.23.116.127  140.72ms
104.23.107.205  131.48ms
104.23.138.61  178.40ms
104.23.123.178  176.20ms
104.23.134.99  169.51ms
104.23.135.231  172.30ms
104.23.104.55  140.32ms
104.23.119.190  150.00ms
104.23.103.142  183.19ms
104.23.108.157  143.34ms
104.23.129.76  193.24ms
104.23.127.203  176.91ms
104.23.134.109  187.77ms
104.23.140.129  193.96ms
104.23.139.20  210.05ms
104.23.113.78  142.29ms
104.23.117.61  196.09ms
104.23.143.16  181.69ms
104.23.101.53  182.21ms
104.23.130.198  216.98ms
104.23.118.191  248.18ms
104.23.103.237  207.33ms
104.23.109.168  170.19ms
104.23.143.206  290.16ms
104.23.139.45  286.12ms
104.23.115.224  149.06ms
104.23.128.111  258.25ms
104.23.126.126  173.63ms
104.23.123.3  248.97ms
104.23.112.136  223.69ms
104.23.138.233  266.25ms
104.23.99.214  221.34ms
104.23.132.139  205.31ms
104.23.115.137  151.82ms
104.23.116.33  155.80ms
104.23.137.202  183.12ms
104.23.119.126  150.80ms
104.23.102.196  202.17ms
104.23.135.201  176.80ms
104.23.113.89  166.26ms
104.23.118.74  195.45ms
104.23.128.80  235.38ms
104.23.112.216  181.69ms
104.23.135.221  245.31ms
104.23.119.59  252.44ms
104.23.99.143  183.48ms
104.23.136.140  272.57ms
104.23.109.133  153.03ms
104.23.121.156  229.54ms
104.23.143.203  227.88ms
104.23.112.45  246.18ms
104.23.136.164  264.41ms
104.23.125.51  200.91ms
104.23.109.83  146.45ms
104.23.130.8  135.32ms
104.23.96.83  196.02ms
104.23.120.228  164.43ms
104.23.135.43  191.12ms
104.23.99.41  181.16ms
104.23.120.106  151.30ms
104.23.112.10  146.33ms
104.23.131.21  177.43ms
104.23.135.123  178.00ms
104.23.98.141  188.16ms
104.23.114.39  164.61ms
104.23.104.45  142.28ms
104.23.135.216  160.60ms
104.23.120.135  139.29ms
104.23.109.172  142.42ms
104.23.108.179  180.31ms
104.23.101.141  142.42ms
104.23.117.129  181.44ms
104.23.118.114  178.90ms
104.23.101.27  140.16ms
104.23.136.75  185.89ms
104.23.133.109  193.90ms
104.23.113.104  187.15ms
104.23.110.34  136.64ms
104.23.136.206  188.88ms
104.23.107.188  144.15ms
